epoch,step,测试/AUROC,测试/F1分数,测试/准确率,训练/AUROC,训练/准确率,训练/总损失,训练/损失,验证/AUROC,验证/F1分数,验证/准确率,验证/总损失,验证/损失
0,28,,,,,,,,0.7355993390083313,0.544827401638031,0.7030404210090637,0.5777580738067627,0.5777580738067627
0,28,,,,0.5348793268203735,,,,,,,,
1,49,,,,,0.7109375,0.5628921985626221,0.5628921985626221,,,,,
1,57,,,,,,,,0.7766007781028748,0.67665696144104,0.7488546371459961,0.5276903510093689,0.5276903510093689
1,57,,,,0.6558183431625366,,,,,,,,
2,86,,,,,,,,0.8040911555290222,0.7311121821403503,0.7721782326698303,0.49405184388160706,0.49405184388160706
2,86,,,,0.745684027671814,,,,,,,,
3,99,,,,,0.7734375,0.47238266468048096,0.47238266468048096,,,,,
3,115,,,,,,,,0.8151456713676453,0.7347334027290344,0.7771762013435364,0.4874829947948456,0.4874829947948456
3,115,,,,0.7877508997917175,,,,,,,,
4,144,,,,,,,,0.823880136013031,0.7490700483322144,0.7713452577590942,0.49855878949165344,0.49855878949165344
4,144,,,,0.8151543736457825,,,,,,,,
5,145,0.8290048241615295,0.7473035454750061,0.7725947499275208,,,,,,,,,
