epoch,step,测试/AUROC,测试/F1分数,测试/准确率,训练/AUROC,训练/准确率,训练/总损失,训练/损失,验证/AUROC,验证/F1分数,验证/准确率,验证/总损失,验证/损失
4,2249,,,,,0.7333333492279053,0.5993524789810181,0.5993524789810181,,,,,
4,2249,,,,,,,,0.8288940191268921,0.7268217206001282,0.7705122828483582,0.49050039052963257,0.49050039052963257
4,2249,,,,0.8813846111297607,,,,,,,,
5,2299,,,,,0.875,0.35295790433883667,0.35295790433883667,,,,,
5,2349,,,,,0.9375,0.21713905036449432,0.21713905036449432,,,,,
5,2399,,,,,0.8125,0.4693099558353424,0.4693099558353424,,,,,
5,2449,,,,,0.9375,0.31728363037109375,0.31728363037109375,,,,,
5,2499,,,,,0.8125,0.37386447191238403,0.37386447191238403,,,,,
5,2549,,,,,0.9375,0.221329003572464,0.221329003572464,,,,,
5,2599,,,,,0.6875,0.4951634109020233,0.4951634109020233,,,,,
5,2649,,,,,0.9375,0.27286195755004883,0.27286195755004883,,,,,
5,2699,,,,,0.8666666746139526,0.4314647912979126,0.4314647912979126,,,,,
5,2699,,,,,,,,0.8266533613204956,0.7416545748710632,0.7809246182441711,0.5287704467773438,0.5287704467773438
5,2699,,,,0.903610110282898,,,,,,,,
6,2749,,,,,0.875,0.3520965576171875,0.3520965576171875,,,,,
6,2799,,,,,1.0,0.17244629561901093,0.17244629561901093,,,,,
6,2849,,,,,0.9375,0.16801942884922028,0.16801942884922028,,,,,
6,2899,,,,,1.0,0.07158823311328888,0.07158823311328888,,,,,
6,2949,,,,,0.6875,0.8534911274909973,0.8534911274909973,,,,,
6,2999,,,,,0.8125,0.3250236213207245,0.3250236213207245,,,,,
6,3049,,,,,0.9375,0.28735068440437317,0.28735068440437317,,,,,
6,3099,,,,,0.75,0.5602032542228699,0.5602032542228699,,,,,
6,3149,,,,,0.800000011920929,0.572296679019928,0.572296679019928,,,,,
6,3149,,,,,,,,0.8301475644111633,0.73587566614151,0.7692627906799316,0.5683034658432007,0.5683034658432007
6,3149,,,,0.9230796098709106,,,,,,,,
7,3199,,,,,1.0,0.0813893973827362,0.0813893973827362,,,,,
7,3249,,,,,0.9375,0.2640663981437683,0.2640663981437683,,,,,
7,3299,,,,,0.6875,1.0992200374603271,1.0992200374603271,,,,,
7,3349,,,,,0.8125,0.4658413231372833,0.4658413231372833,,,,,
7,3399,,,,,0.8125,0.38417062163352966,0.38417062163352966,,,,,
7,3449,,,,,0.9375,0.17699068784713745,0.17699068784713745,,,,,
