epoch,step,测试/AUROC,测试/CoT准确率,测试/F1分数,测试/准确率,训练/AUROC,训练/CoT一致性损失,训练/CoT准确率,训练/准确率,训练/总损失,训练/损失,验证/AUROC,验证/CoT一致性损失,验证/CoT准确率,验证/F1分数,验证/准确率,验证/总损失,验证/损失
0,28,,,,,,,,,,,0.7324853539466858,0.04507932439446449,0.7234485745429993,0.4375342130661011,0.67596834897995,0.5234180688858032,0.5234180688858032
0,28,,,,,0.5346381664276123,,,,,,,,,,,,
1,49,,,,,,0.037600912153720856,0.77734375,0.74609375,0.4732722043991089,0.4732722043991089,,,,,,,
1,57,,,,,,,,,,,0.7797498106956482,0.029122015461325645,0.7625989317893982,0.6764233112335205,0.7505205869674683,0.47332221269607544,0.47332221269607544
1,57,,,,,0.6602044701576233,,,,,,,,,,,,
2,58,0.7447169423103333,0.6518117189407349,0.39905381202697754,0.6647230386734009,,,,,,,,,,,,,
